Need directions from my house to the Cleveland Clinic for my daughters appointment at 8 this morning	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:ATTENDEE_EVENT [IN:GET_CONTACT [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
Traffic for the next month please	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
What family activities are happening in Placer County	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
what is the distance from Miami to Washington DC	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Free festivals in Charlotte next year	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
let me know what the traffic is like when I leave work	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
Distance between Spain and Portugal	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
concerts by janet jackson	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
Christmas music events in Tampa this friday	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Movie in the park events nearby this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME ] ]
are there any traffic accidents on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Is there any construction on the way to the zoo	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
What will my commute be like today as far as traffic	[IN:GET_INFO_TRAFFIC [SL:PATH ] [SL:DATE_TIME ] ]
events this weekend	[IN:GET_EVENT [SL:DATE_TIME ] ]
what are the current traffic conditions in st . louis	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
How long will it take me to get to Sandi 's house , if I leave my mom 's now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Where does the Nutcracker play the week of before Christmas	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Directions to school .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] ]
How is the traffic in Georgia today	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
The best place to go dancing on Friday night in Roseville	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
Why is the freeway so backed up today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
How long is the bus ride from Market Street to the Beyonce concert tonight ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
where can I go cross country skiing	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
Anything fun to do this weekend	[IN:GET_EVENT [SL:DATE_TIME ] ]
what is there to do in Portland tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
What Broadway shows are currently playing in New York	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
why is the traffic so bad in orange county this week	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Any good classical musicals going on in Portland next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What cruises are leaving out of Galveston in April	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
I'm looking for any Broadway show happening tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Time to get to Strongsville	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ]
what are the dates for the Boat Parade of lights in Havasu this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Whats going on Saturday Night	[IN:GET_EVENT [SL:DATE_TIME ] ]
How many hours is a flight from San Diego to Omaha	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Country concerts in Portland in January	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How long will it take me to reach the nearest fueling station	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
How long will it take to get there with the traffic today	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] ]
Any live wrestling shows in town this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
What shows are at the Stadium Theater in January	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
What is the driving time between Riverton and Buffalo	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
How long is the drive for Shenandoah to Bedford	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Holland Center concerts next month	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How long is the drive to Macomb Mall	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Are there any delays on the way to the Cubs game right now ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME ] ]
will traffic be heavy this weekend	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
How much traffic will be on the I5 right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
What is happening near me	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Christmas events	[IN:GET_EVENT [SL:DATE_TIME ] ]
how long will it take to get to grand junction	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ]
Find directions to a Whole Foods that is near a movie theatre	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:CATEGORY_LOCATION ] ] ] ] ] ]
How long will it take to get to Lisa 's house by bus ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:METHOD_TRAVEL ] ]
Is there construction on my route to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Is the freeway clear from here to the beach right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
have they opened the 101 since the fires	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION ] [SL:ROAD_CONDITION ] ]
How is traffic on the Parkway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
how long will it take to get to my doctors appointment at 3 pm if i don't take the highway	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
when will i get home	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
any delays on I - 77 North	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
If I leave at 3 pm will I make it to the doctor by 3 : 30 ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
How long does it take to get to CenturyLink Field by bus from Federal Way ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How much will traffic add to my time to get to East Corning ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ]
Is the snow blocking route 5	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION ] [SL:LOCATION ] ]
What time I need to leave my house to make it to Eagles game by 4 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
How long will it take for me to drive to my dad 's restaurant to make it there before noon ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Can you let me know what the traffic looks like right now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
how is the traffic by newark airport	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:POINT_ON_MAP ] ] ] ]
Any fun events this weekend	[IN:GET_EVENT [SL:DATE_TIME ] ]
Is there a horse show in Longmont soon	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Is the weather causing traffic delays today	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
Is there any delays on my way to work this morning	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
Show me snow fall and highway closer during december	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
San Jose Airport , leaving now , approximate travel time ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
How long to walk from my house to the bank ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Traffic	[IN:GET_INFO_TRAFFIC ]
get directions to michaels from anaheim	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:SOURCE ] ]
How long will it take me to get to Hy - Vee right now	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Please show me how long it will take me to get to work if I leave my house right now given the current traffic conditions	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
What 's the traffic like in Lenoir City	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
on what street is my old high school on and how long should it take to get there	[IN:COMBINE [SL:COMBINE [IN:GET_LOCATION [SL:LOCATION [IN:GET_LOCATION_SCHOOL [SL:CONTACT ] ] ] ] ] [SL:COMBINE [IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ] ] ]
Traffic in Nashville TN for holiday weekend	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
any music events this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Events happening within a 30 mile radius of me , happening today	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
what 's the traffic in the loop today	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
How many miles is it from Truckee to South Lake Tahoe	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
Are the freeway icy this morning ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:ROAD_CONDITION ] [SL:DATE_TIME ] ]
ideas on what to do in San Francisco today	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Is there some sort of Christmas festival in Carmel this year	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Whats happening this weekend	[IN:GET_EVENT [SL:DATE_TIME ] ]
is there any expected road construction on my way to work tomorrow	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
Is there usually traffic on the weekend for my area	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
how is my drive to my hair appointment	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_EVENT [SL:ORGANIZER_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
How long will it take me to drive from Justin 's house to the Selena Gomez show ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
will I make it in time	[IN:GET_ESTIMATED_ARRIVAL ]
Things to do in SF tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
are there any rock concerts in december in my town	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
Will the torch relay slow down traffic on I - 94 around 8 am today ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] ] ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How many miles from my home to Lancaster , PA	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION ] ]
is there any traffic on west main street	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
What is traffic on Interstate 75 like right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
How long will it take to get from Target to Walmart tomorrow if I take the bus ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:METHOD_TRAVEL ] ]
Parties tomorrow in Los Angeles	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
How long would it take me to drive to the Snoop Dogg gig if I left in 5 minutes ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
how long will i take me to get home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
How long will it take me to get to my moms	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] ]
concerts in Vegas next year	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
I want to see a concert tonight , is there anything going on near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
What is the traffic forecast this weekend	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Is the fog this morning affecting traffic on the way to downtown ?	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION ] [SL:DATE_TIME ] [SL:DESTINATION ] ]
Are there any detours on my way to Ohio	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
what 's going on in harrisburg , pa at the end of this month	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Things to do in Boston this weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Crafts shows coming up	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
How is the traffic from Syosset to Queens	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
Help me avoid traffic going home	[IN:GET_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Is there another route that I can go to avoid the traffic accident	[IN:UPDATE_DIRECTIONS [SL:OBSTRUCTION_AVOID ] ]
is us 95 north bound busy	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Things to do in Austell , Georgia	[IN:GET_EVENT [SL:LOCATION ] ]
How long is the drive from the Outer Banks and Columbia	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
concerts by hall and oates this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:DATE_TIME ] ]
How long will it take to get to Fort Lauderdale by train	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:METHOD_TRAVEL ] ]
Is there road construction on the road to Memphis from Little Rock	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] [SL:SOURCE ] ]
coffee house and music	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:CATEGORY_EVENT ] ]
How long will it take me to get to work from home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
Things to do in Cleveland next weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
How long is the trip in train to Atlantic city on a Sunday	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
Anything cool going on in hardy tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
concerts by Pentatonix	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
Route me to work	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Where are the construction zones	[IN:GET_INFO_TRAFFIC ]
what 's the best route home today	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] ]
are they any traffic delays for my ride home today	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME ] ]
how heavy is the traffic driving from Greenville to new York	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Get time delay due too the flooding on the way to work	[IN:GET_ESTIMATED_DURATION [SL:ROAD_CONDITION ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Is the construction in Connecticut going to make me late to the show in New Haven ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ] ] ]
Update on traffic please	[IN:GET_INFO_TRAFFIC ]
What is there to do in Seattle this week	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
beer tasting in Albuquerque for March	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How do I avoid traffic in Honolulu	[IN:GET_INFO_TRAFFIC [SL:OBSTRUCTION_AVOID ] [SL:LOCATION ] ]
How has traffic been today	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Any good concerts tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How fast can I get to the hospital	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
How long is going to take to get home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
things to do in weekend mornings	[IN:GET_EVENT [SL:DATE_TIME ] ]
Tell me the time to New Hampshire using only back roads with no construction	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:PATH [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:OBSTRUCTION_AVOID ] ]
harry styles concert within the next month	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Are the buses running on schedule today	[IN:GET_ESTIMATED_DEPARTURE [SL:METHOD_TRAVEL ] [SL:DATE_TIME_DEPARTURE ] ]
where are the fall festivals in orlando	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Is there a Hearthstone Fireside Gathering in Los Angeles next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How far is it from the local Walmart	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:POINT_ON_MAP ] ] ] ]
things to do for kids 5 and under on Saturday night in Las Vegas	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
Directions to the University of Michigan .	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Are the roads clear going from Corpus Christi to Galveston Texas or is there construction ?	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
If I take I - 35 from Norman when will I arrive at the Oklahoma City Thunder game ?	[IN:GET_ESTIMATED_ARRIVAL [SL:PATH ] [SL:SOURCE ] [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] ]
How do the roads look ?	[IN:GET_INFO_TRAFFIC ]
Events for families tomorrow downtown	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
what is the distance between Tucson and Chicago	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
What is the toll free route from home to Seaworld	[IN:GET_DIRECTIONS [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Christmas parties in Portland please	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How much time will it add to my commute if i leave during rush hour ?	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:DATE_TIME_DEPARTURE ] ]
Display fastest walking route to grocery store	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Best way to get to Makalapa at 345 pm from Red Hill	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:DATE_TIME_DEPARTURE ] [SL:SOURCE ] ]
how does my ride to school look	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] ]
What is happening in Silver spring over the weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
what is the best way to get home tonight	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_DEPARTURE ] ]
is there more traffic than usual on my drive home	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
What is the fastest route by car to Lewis house ?	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
Can you tell me the conditions of the roads from here to Jeremy 's house ?	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
Give me a traffic report for Los Angeles .	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Eta to go home	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Bruno Mars concerts in Cleveland this year	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Things to do In Miami	[IN:GET_EVENT [SL:LOCATION ] ]
Where is there construction on the highway	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
How long will it take me to get home from Diana 's house ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
current traffic	[IN:GET_INFO_TRAFFIC ]
Concerts by Justin Timberlake for this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] [SL:DATE_TIME ] ]
Pennington Gap Virginia for fun	[IN:GET_EVENT [SL:LOCATION ] ]
show me traffic	[IN:GET_INFO_TRAFFIC ]
What time will I arrive at the airport if I leave at 8AM	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
